City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kaduy,75,RU,1570211643,93,59.2,37.15,37.4,6.71
Melendugno,20,IT,1570211643,55,40.27,18.34,64.4,18.34
Guarare,15,PA,1570211644,71,7.82,-80.28,85.04,4.97
Mananjary,93,MG,1570211644,78,-19.16,46.8,68.84,5.91
Moindou,0,NC,1570211644,72,-21.69,165.68,62.6,1.12
Panan,75,PH,1570211645,88,15.26,120.04,75.2,2.24
Nuevo Progreso,40,US,1570211645,55,26.05,-97.95,91,3.36
Eyl,21,SO,1570211645,85,7.98,49.82,75.32,8.61
Bahia Blanca,38,AR,1570211646,31,-38.72,-62.27,63.98,8.95
Dauriya,0,RU,1570211646,69,49.93,116.85,34.64,5.97
Seymchan,23,RU,1570211646,94,62.93,152.39,8.72,2.51
Key West,90,US,1570211595,81,47.93,-96.78,45,18.34
Mumford,86,GH,1570211647,93,5.26,-0.76,74.78,7.34
Avera,1,US,1570211648,37,33.19,-82.53,98.01,5.82
Agen,90,FR,1570211648,63,44.2,0.62,64.4,11.41
Taksimo,100,RU,1570211649,79,56.36,114.84,28.52,3.87
Talcahuano,0,CL,1570211649,54,-36.72,-73.12,57.2,12.75
Narva-Joesuu,100,EE,1570211649,80,59.46,28.04,40.58,16.78
Mutoko,94,ZW,1570211650,38,-17.4,32.23,76.76,8.23
Lasa,0,CY,1570211650,83,34.92,32.53,77,4.7
Ulaanbaatar,0,MN,1570211443,73,47.92,106.92,24.8,4.05
Hami,77,CN,1570211651,36,42.84,93.51,55.34,0.92
Saint-Augustin,75,CA,1570211651,50,45.63,-73.98,52,13.87
Amahai,100,ID,1570211651,89,-3.31,129,76.58,9.86
Labuhan,92,ID,1570211652,79,-2.54,115.51,71.54,1.39
Xining,25,CN,1570211652,90,36.62,101.77,40.58,3.18
Balgazyn,0,RU,1570211652,46,51,95.2,31.94,2.59
Bereznik,100,RU,1570211653,99,62.86,42.71,36.44,2.19
Sola,27,TZ,1570211653,28,-3.17,33.8,78.56,14.07
Igrim,17,RU,1570211654,85,63.19,64.42,31.4,2.62
Bankura,2,IN,1570211654,75,23.24,87.07,79.82,1.59
Havoysund,75,NO,1570211655,86,71,24.66,39.2,16.11
Price,1,US,1570211655,18,39.6,-110.81,66,6.93
La Ronge,90,CA,1570211655,75,55.1,-105.3,44.6,13.87
Shimoda,0,JP,1570211656,78,34.7,138.93,66.99,1.01
Yumen,100,CN,1570211657,34,40.29,97.04,47.06,23.51
Arlit,0,NE,1570211657,7,18.74,7.39,98.54,5.48
Santa Flavia,40,CL,1570211658,45,-51.55,-72.35,48.2,28.86
Morgan City,1,US,1570211658,46,29.7,-91.21,93.99,3.2
Beipiao,0,CN,1570211658,54,41.8,120.76,37.52,8.99
Uribia,28,CO,1570211659,49,11.71,-72.27,92.96,12.06
Banyo,94,CM,1570211659,92,6.75,11.81,65.96,3.65
Amberieu-en-Bugey,0,FR,1570211659,63,45.96,5.34,60.8,5.82
Severo-Yeniseyskiy,100,RU,1570211660,93,60.37,93.04,39.68,9.55
Santa Paula,5,US,1570211660,33,34.35,-119.06,75.99,3.56
Nouadhibou,0,MR,1570211463,69,20.93,-17.03,75.2,24.16
Linqiong,40,CN,1570211661,64,30.42,103.46,69.8,6.71
Monetnyy,0,RU,1570211661,66,57.05,60.88,51.8,6.71
Miranda,31,BR,1570211662,22,-20.24,-56.38,103.04,7.18
Flin Flon,90,CA,1570211662,75,54.77,-101.88,44.6,11.41
Kawalu,11,ID,1570211663,80,-7.38,108.21,66.86,3.67
Valence,0,FR,1570211663,59,44.93,4.89,60.8,5.82
Rabo de Peixe,20,PT,1570211663,83,37.8,-25.58,78.01,18.34
Nanortalik,100,GL,1570211640,57,60.14,-45.24,47.06,12.73
Wigtown,48,GB,1570211664,80,54.87,-4.44,54,5.01
Tomari,100,RU,1570211664,91,47.76,142.06,43.28,23.38
Bouake,40,CI,1570211665,78,7.69,-5.02,82.4,2.24
Yaviza,38,PA,1570211665,64,8.16,-77.69,87.38,3.42
Ternate,90,PH,1570211665,88,14.29,120.72,80.01,2.24
Mendeleyevo,75,RU,1570211666,75,56.04,37.23,46,6.71
Nishihara,75,JP,1570211666,57,35.74,139.53,82,12.75
La Asuncion,50,AR,1570211667,46,-26.05,-65.39,61.64,10.09
Sioux Lookout,90,CA,1570211667,75,50.1,-91.92,42.8,6.93
Thinadhoo,59,MV,1570211667,76,0.53,72.93,81.62,9.6
Beloha,0,MG,1570211668,64,-25.17,45.06,77.48,2.04
Kang,11,BW,1570211668,34,-23.67,22.79,70.28,2.04
Mokhsogollokh,87,RU,1570211669,96,61.4,128.95,24.74,3.13
Lake City,90,US,1570211669,37,38.03,-107.32,60.01,18.97
Arys,0,KZ,1570211669,29,42.43,68.8,66.2,8.95
Lavrentiya,59,RU,1570211670,83,65.58,-170.99,24.74,19.3
Lisakovsk,30,KZ,1570211671,56,52.55,62.49,53.36,6.2
Buala,100,SB,1570211671,80,-8.15,159.59,79.46,6.55
Bereda,20,ES,1570211672,63,43.27,-7.54,64.4,4.7
Whitehorse,20,CA,1570211672,100,60.72,-135.06,26.6,3.36
Dali,99,CN,1570211672,93,34.79,109.94,58.04,0.96
Ancud,75,CL,1570211673,61,-41.87,-73.83,50,4.7
Ayr,14,AU,1570211569,81,-19.58,147.4,60.01,2.86
Mecca,0,SA,1570211430,69,21.43,39.83,83.6,5.01
Westport,75,US,1570211389,51,41.14,-73.36,64.99,20.8
Guerrero Negro,20,MX,1570211674,77,27.97,-114.04,67.76,9.82
Saint-Pierre,90,FR,1570211674,82,48.95,4.24,59,16.11
Japura,49,ID,1570211675,96,-0.42,102.29,72.08,1.79
Solginskiy,100,RU,1570211675,87,61.05,41.34,38.78,10.92
Robertsport,100,LR,1570211676,86,6.75,-11.37,76.4,8.21
Soria,27,ES,1570211676,77,41.76,-2.46,55.88,3.4
Biltine,89,TD,1570211677,39,14.53,20.93,91.16,16.44
Malindi,40,KE,1570211677,94,-3.22,40.12,77,5.82
Vestmanna,40,FO,1570211678,70,62.16,-7.17,46.4,18.34
Kathmandu,40,NP,1570211678,93,27.71,85.32,66.2,3.36
Solnechnyy,0,RU,1570211679,58,50.72,136.64,30.14,1.83
Kangaatsiaq,0,GL,1570211679,66,68.31,-53.46,42.38,6.33
Aquiraz,20,BR,1570211679,58,-3.9,-38.39,86,17.22
Kyaikkami,87,MM,1570211680,72,16.08,97.57,84.32,8.21
Solhan,0,TR,1570211680,41,38.97,41.05,54.26,1.81
Viransehir,0,TR,1570211681,19,37.24,39.76,71,1.59
Ahipara,0,NZ,1570211681,100,-35.17,173.16,44.01,15.43
Dijkot,0,PK,1570211682,34,31.22,73,81.98,2.66
Rize,0,TR,1570211683,83,41.02,40.52,69.8,2.24
Fengrun,0,CN,1570211683,48,39.83,118.12,44.54,4.7
Hanzhong,100,CN,1570211683,89,33.08,107.03,58.94,3.47
Tornio,90,FI,1570211684,92,61.12,27.27,36,4.7
Stockerau,75,AT,1570211684,58,48.38,16.21,57.2,10.29
Muros,20,ES,1570211684,82,42.77,-9.06,64.4,5.82
Cedar City,1,US,1570211390,16,37.68,-113.06,64.99,28.86
Lyubech,100,UA,1570211685,72,51.7,30.66,46.88,4.5
Rome,0,IT,1570211685,39,41.89,12.48,69.8,3.36
Norden,90,DE,1570211686,93,53.59,7.21,50,10.29
Chipinge,1,ZW,1570211686,44,-20.19,32.62,75.5,7.34
Nakusp,92,CA,1570211686,87,50.24,-117.8,38.06,2.26
Atar,0,MR,1570211687,9,20.52,-13.05,101.06,13.22
Laguna,40,BZ,1570211687,70,16.17,-88.94,87.8,6.93
Amga,100,RU,1570211688,93,60.89,131.98,24.02,5.84
Maceio,0,BR,1570211398,61,-9.67,-35.74,82.4,17.22
Ust-Ishim,100,RU,1570211688,95,57.69,71.17,49.94,7.49
Portland,75,US,1570211619,66,43.66,-70.25,57.2,16.11
Ulladulla,90,AU,1570211689,100,-35.36,150.48,57.2,9.17
Port Moresby,93,PG,1570211690,83,-9.47,147.16,76.76,28.21
Gondar,20,PT,1570211690,68,41.82,-8.78,66.2,9.17
San Policarpo,49,PH,1570211690,88,12.18,125.51,76.4,4.65
Kulhudhuffushi,97,MV,1570211691,72,6.62,73.07,82.88,5.88
North Platte,90,US,1570211411,81,41.12,-100.77,51.8,13.87
Kedrovyy,0,RU,1570211691,32,56.17,91.82,53.6,13.42
Kontagora,44,NG,1570211692,84,10.4,5.47,76.4,2.42
Worland,1,US,1570211692,17,44.02,-107.96,66,4.7
Payo,43,ID,1570211693,63,-3.75,103.64,65.78,4.12
Eirunepe,85,BR,1570211693,47,-6.66,-69.87,90.98,3.58
Hovd,0,NO,1570211669,69,63.83,10.7,37.99,12.75
Leh,75,IN,1570211693,44,34.16,77.58,31.58,2.21
Kutum,56,SD,1570211694,47,14.2,24.66,81.98,6.17
Grand-Lahou,81,CI,1570211694,85,5.24,-5,77.66,5.91
Kichera,100,RU,1570211695,94,55.93,110.1,33.38,2.51
Atocha,40,AR,1570211695,43,-24.82,-65.48,69.8,3.36
Dhanbad,1,IN,1570211695,88,23.8,86.43,75.68,3.89
Tigzirt,0,DZ,1570211696,61,36.57,4.2,64.34,3
Vitim,100,RU,1570211696,95,59.44,112.57,40.04,10.58
Bridlington,75,GB,1570211697,87,54.08,-0.19,55.4,9.17
Camacupa,100,AO,1570211697,63,-12.02,17.48,65.6,4.25
Kamina,53,CD,1570211698,58,-8.74,25,74.6,6.73
Tumbagaan,0,PH,1570211698,67,5.37,120.31,82.52,1.14
Umbuzeiro,0,BR,1570211699,42,-7.7,-35.67,86,17.22
Ambilobe,10,MG,1570211700,66,-13.19,49.05,77.84,13.71
Turgenevo,52,RU,1570211700,75,54.84,46.32,60.2,14.56
Chatrapur,57,IN,1570211701,90,19.35,84.98,74.78,2.71
Grand-Santi,17,GF,1570211701,24,4.27,-54.38,98.36,3.85
Kharp,95,RU,1570211702,96,66.82,65.8,22.94,5.57
Charters Towers,0,AU,1570211702,87,-20.07,146.27,55.34,8.55
Penzance,75,GB,1570211703,93,50.12,-5.53,60.8,25.28
Saravena,73,CO,1570211703,43,6.96,-71.88,88.64,4.41
Mathbaria,26,BD,1570211704,84,22.29,89.96,77.84,3.4
Hualmay,100,PE,1570211704,92,-11.1,-77.61,61.82,18.77
Kenai,75,US,1570211704,71,60.55,-151.26,51.8,18.34
Nadym,77,RU,1570211706,84,65.53,72.51,33.02,15.95
Tahe,4,CN,1570211706,71,52.34,124.71,28.34,4.12
Ginir,98,ET,1570211707,93,7.14,40.71,59.84,2.42
Pacifica,1,US,1570211708,59,37.61,-122.49,66.99,10.29
Aflao,40,TG,1570211708,88,6.12,1.19,80.6,8.05
Omsukchan,60,RU,1570211708,90,62.53,155.8,2.78,0.43
Sambava,35,MG,1570211709,98,-14.27,50.17,69.74,1.77
Haverhill,86,GB,1570211709,82,52.08,0.44,59,1.12
Pueblo Bello,75,CO,1570211709,70,8.2,-76.53,86,6.93
Emilio Carranza,0,MX,1570211710,56,19.97,-96.61,84.32,5.57
Homer,90,US,1570211711,93,59.64,-151.54,50,29.06
Amurzet,0,CN,1570211711,72,47.69,131.09,30.5,6.6
Phan Thiet,56,VN,1570211711,89,10.93,108.1,75.68,1.3
Serro,20,BR,1570211712,52,-18.6,-43.38,76.4,7.14
